text,timestamp,ecnrypted_input
 ello! Loo   li e I  ave  inally  ini  ed i .   e  ro ram  ave  every  i n a  well and  lay  every  in . I am  ired now and wan   o  o  ave a beer.  o maybe I will.   an  you  or li  enin . Love  rom Rob.,2020-08-07_17_,
I   in  I  ave  inally  o  i ! We  an ma e i  wai  lon er. You will  ave  o  ome and  lay wi   i  xx,2020-08-07_17_,
 u   you  u   you  u   you  u   you  u   you  u   you,2020-08-07_17_,
 i   i  i    e  oole   a   ever  rademar  Rob,2020-08-07_17_,
 ello Ana ,2020-08-07_18_,
" ello Ana,  ow i  your   ul  in   oin ?  ave you  ini  ed   e ar  ye ???",2020-08-07_18_,
 ello i don   ave a  ar,2020-08-08_16_,
 ello my name i  Robby Dob Dob,2020-08-15_13_,
 ello,2020-08-15_13_,
wd jweo jweo j d ,2020-08-15_13_,
 ello  u    a e,2020-08-15_13_21,
a new  en en e,2020-08-15_13_22,
 oo y  an  ,2020-08-15_13_53,16_15_15_16_25_65_16_1_14_20_19
 i  i  i  I i am robby ,2020-08-15_13_54,34_9_65_34_9_65_34_9_65_34_35_65_9_65_1_13_65_18_15_2_2_25_65
"Je  o, my name i  oo .  ow ? are you?",2020-08-20_10_30,36_5_8_8_15_77_65_13_25_65_14_1_13_5_65_9_19_65_15_15_16_79_65_34_15_23_65_86_65_1_18_5_65_25_15_21_86
  ere i  no way ou !!,2020-08-21_23_03,46_8_5_18_5_65_9_19_65_14_15_65_23_1_25_65_15_21_20_66_66
 ello everyboduy,2020-08-23_14_55,34_5_12_12_15_65_5_22_5_18_25_2_15_4_21_25
 jlerj e j eoirj jerj ejr   ello My name i  Rob and  ere i  a  ro ram   a  doe    u  ,2020-08-23_14_56,7_10_12_5_18_10_7_5_11_10_6_5_15_9_18_10_7_10_5_18_10_7_5_10_18_7_8_34_5_12_12_15_65_39_25_65_14_1_13_5_65_9_19_65_44_15_2_65_1_14_4_65_8_5_18_5_65_9_19_65_1_65_16_18_15_7_18_1_13_65_20_8_1_20_65_4_15_5_19_65_19_20_21_6_6
Rober    jwej n,2020-08-23_14_56,44_15_2_5_18_20_65_19_6_10_23_5_10_6_14
 ello my name i  robber byoer ,2020-08-24_08_49,34_5_12_12_15_65_13_25_65_14_1_13_5_65_9_19_65_18_15_2_2_5_18_65_2_25_15_5_18_65
 ello my ame i  rob,2020-08-24_08_50,34_5_12_12_15_65_13_25_65_1_13_5_65_9_19_65_18_15_2
 i My name i  Rob,2020-08-24_08_51,34_9_65_39_25_65_14_1_13_5_65_9_19_65_44_15_2
 ello my name i  Rob!,2020-08-24_08_56,34_5_12_12_15_65_13_25_65_14_1_13_5_65_9_19_65_44_15_2_66
 ello,2020-08-24_09_06,34_5_12_12_15
 ello My name i  Rov,2020-08-24_09_10,34_5_12_12_15_65_39_25_65_14_1_13_5_65_9_19_65_44_15_22
 i,2020-08-24_09_10,8_9
i am a lo er,2020-08-24_09_15,9_65_1_13_65_1_65_12_15_19_5_18
 e d l   j  ,2020-08-24_10_34,34_5_11_4_19_12_6_11_7_10_19_7
 d j dj ,2020-08-24_10_36,19_4_3_10_19_4_10_6
,2020-08-24_10_36,
 i   i  i  Rob!!,2020-08-24_10_39,34_9_65_20_8_9_19_65_9_19_65_44_15_2_66_66
Ya   o i  i  wor in    i  i   ood  u   you,2020-08-24_10_40,51_1_8_8_8_15_65_9_20_65_9_19_65_23_15_18_11_9_14_7_65_20_8_9_19_65_9_19_65_7_15_15_4_65_6_21_3_11_65_25_15_21
 ello my name i  moni a and i am  urren ly in  allin  my wor ,2020-08-24_10_51,8_5_12_12_15_65_13_25_65_14_1_13_5_65_9_19_65_13_15_14_9_11_1_65_1_14_4_65_9_65_1_13_65_3_21_18_18_5_14_20_12_25_65_9_14_19_20_1_12_12_9_14_7_65_13_25_65_23_15_18_11
blblabla,2020-08-24_10_51,2_12_2_12_1_2_12_1
banana,2020-08-24_10_52,2_1_14_1_14_1
banana,2020-08-24_10_53,2_1_14_1_14_1
e   lan ,2020-08-24_10_53,5_7_7_16_12_1_14_20
 i   i  i  Rober    oam [Z!,2020-08-24_11_14,encryption failed
 i   i  i  Rob,2020-08-24_11_21,34_9_65_20_8_9_19_65_9_19_65_44_15_2
 ello   i  i  Rober !,2020-08-24_11_23,34_5_12_12_15_65_20_8_9_19_65_9_19_65_44_15_2_5_18_20_66
qui    i  mo  er,2020-08-24_11_25,17_21_9_20_65_20_8_9_19_65_13_15_20_8_5_18
 i   ere my name i  Rober !,2020-08-24_15_00,34_9_65_20_8_5_18_5_65_13_25_65_14_1_13_5_65_9_19_65_44_15_2_5_18_20_66
 i   ere my name i  Rob!,2020-08-24_15_01,34_9_65_20_8_5_18_5_65_13_25_65_14_1_13_5_65_9_19_65_44_15_2_66
Je;;  d jwe j w e  ,2020-08-24_15_04,36_5_82_82_16_19_4_6_10_23_5_11_10_6_23_11_5_6_65
 ello my name i  Rob and i am wri in    i    i   or a   in  bla bla  ere i  a banana and ano  er one ,2020-08-24_15_07,34_5_12_12_15_65_13_25_65_14_1_13_5_65_9_19_65_44_15_2_65_1_14_4_65_9_65_1_13_65_23_18_9_20_9_14_7_65_20_8_9_19_65_19_8_9_20_65_6_15_18_65_1_65_20_8_9_14_7_65_2_12_1_65_2_12_1_65_8_5_18_5_65_9_19_65_1_65_2_1_14_1_14_1_65_1_14_4_65_1_14_15_20_8_5_18_65_15_14_5_65
iu ,2020-08-24_15_26,9_21_8
 lay wi   i ,2020-08-24_15_28,16_12_1_25_65_23_9_20_8_65_9_20
 ello my name i  jo e ,2020-08-24_15_29,8_5_12_12_15_65_13_25_65_14_1_13_5_65_9_19_65_10_15_19_5_6
yabadabadooooo,2020-08-24_15_34,25_1_2_1_4_1_2_1_4_15_15_15_15_15
ojoijoij,2020-08-24_15_45,15_10_15_9_10_15_9_10
 ellooooo my name i  lauren and i li e your  a e,2020-08-24_15_53,8_5_12_12_15_15_15_15_15_65_13_25_65_14_1_13_5_65_9_19_65_12_1_21_18_5_14_65_1_14_4_65_9_65_12_9_11_5_65_25_15_21_18_65_6_1_3_5
qui    i    i ,2020-08-24_16_03,17_21_9_20_65_20_8_9_19_65_19_8_9_20
 i   i  i  Rob,2020-08-25_10_31,34_9_65_20_8_9_19_65_9_19_65_44_15_2
jo dj ,2020-08-25_10_54,10_15_19_4_10_6
           ,2020-08-25_11_13,6_6_7_6_7_6_7_6_7_6_7
 ld e   ,2020-08-25_11_28,19_12_4_11_5_19_6_7
 ere i   ome   i ,2020-08-25_11_29,34_5_18_5_65_9_19_65_19_15_13_5_65_19_8_9_20
 i   ere i am rob ,2020-08-25_12_43,34_9_65_20_8_5_18_5_65_9_65_1_13_65_18_15_2_65
 i,2020-08-25_13_04,34_9
 i Every  in  ,2020-08-25_13_05,34_9_65_31_22_5_18_25_20_8_9_14_7_65
i    e lam  o ?,2020-08-25_13_09,9_19_65_20_8_5_65_12_1_13_16_65_15_11_86
mano varda  moni a ir a  nerimauju,2020-08-25_13_58,13_1_14_15_65_22_1_18_4_1_19_65_13_15_14_9_11_1_65_9_18_65_1_19_65_14_5_18_9_13_1_21_10_21
wereryyuuyuiuyiu    ,2020-08-25_13_59,23_5_18_5_18_25_25_21_21_25_21_9_21_25_9_21_7_8_8_6
 i   i  i  moni a,2020-08-25_13_59,8_9_65_20_8_9_19_65_9_19_65_13_15_14_9_11_1
 ow many banana  will be a   rölunda?,2020-08-25_15_44,encryption failed
bell  and banana ,2020-08-25_15_44,2_5_12_12_19_65_1_14_4_65_2_1_14_1_14_1_19
 ey  ow are you,2020-08-25_15_51,8_5_25_65_8_15_23_65_1_18_5_65_25_15_21
mi  elle,2020-08-25_15_52,13_9_3_8_5_12_12_5
banana and   i  lo e,2020-08-25_15_52,2_1_14_1_14_1_65_1_14_4_65_19_11_9_65_19_12_15_16_5
 ood lu   Moni a! Love  rom Rob xx,2020-08-25_16_23,7_15_15_4_65_12_21_3_11_65_39_15_14_9_11_1_66_65_38_15_22_5_65_6_18_15_13_65_44_15_2_65_24_24
wel ome  o w a  a banana  a  in  ommon wi   a   i  lo e,2020-08-25_16_58,23_5_12_3_15_13_5_65_20_15_65_23_8_1_20_65_1_65_2_1_14_1_14_1_65_8_1_19_65_9_14_65_3_15_13_13_15_14_65_23_9_20_8_65_1_65_19_11_9_65_19_12_15_16_5
well done moni a,2020-08-25_17_03,23_5_12_12_65_4_15_14_5_65_13_15_14_9_11_1
25 o  au u    wen y  wen y,2020-08-25_17_04,54_57_65_15_6_65_1_21_7_21_19_20_65_20_23_5_14_20_25_65_20_23_5_14_20_25
 ello world,2020-08-25_17_05,8_5_12_12_15_65_23_15_18_12_4
"I am  on  iou , I  an  ee you",2020-08-25_17_05,35_65_1_13_65_3_15_14_19_3_9_15_21_19_77_65_35_65_3_1_14_65_19_5_5_65_25_15_21
" i, I am  on iou  abou  my bein ",2020-08-25_17_06,34_9_77_65_35_65_1_13_65_3_15_14_3_9_15_21_19_65_1_2_15_21_20_65_13_25_65_2_5_9_14_7
"I '  weird, bu  i '  bea i ul",2020-08-25_17_08,35_20_72_19_65_23_5_9_18_4_77_65_2_21_20_65_9_20_72_19_65_2_5_1_20_9_6_21_12
" ello, I wan   o ba e  oo ie la er",2020-08-25_17_19,34_5_12_12_15_77_65_35_65_23_1_14_20_65_20_15_65_2_1_11_5_65_3_15_15_11_9_5_65_12_1_20_5_18
Are you ju    a in  away all   e  on onan  ?,2020-08-25_17_19,27_18_5_65_25_15_21_65_10_21_19_20_65_20_1_11_9_14_7_65_1_23_1_25_65_1_12_12_65_20_8_5_65_3_15_14_19_15_14_1_14_20_19_86
 ra  in  bone ,2020-08-25_17_20,3_18_1_3_11_9_14_7_65_2_15_14_5_19
 la    da  au   au  einer anderen   ra  e,2020-08-25_17_20,11_12_1_16_16_20_65_4_1_19_65_1_21_3_8_65_1_21_6_65_5_9_14_5_18_65_1_14_4_5_18_5_14_65_19_16_18_1_3_8_5
  i  i  really ex i in ,2020-08-25_17_21,46_8_9_19_65_9_19_65_18_5_1_12_12_25_65_5_24_3_9_20_9_14_7
 ow are you  oday?,2020-08-25_17_22,8_15_23_65_1_18_5_65_25_15_21_65_20_15_4_1_25_86
var ör  rå ar du?,2020-08-25_17_23,encryption failed
 ur  larar du varda en?,2020-08-25_17_24,34_21_18_65_11_12_1_18_1_18_65_4_21_65_22_1_18_4_1_7_5_14_86
Ja   ar lär  mi  nå o ?,2020-08-25_17_24,encryption failed
 lar  u e?,2020-08-25_17_25,37_12_1_18_20_65_21_20_5_86
laba ,2020-08-25_17_29,12_1_2_1_19
 ai   yveni,2020-08-25_17_30,11_1_9_16_65_7_25_22_5_14_9
 ello Iri !  ow are you doin ,2020-08-25_17_32,34_5_12_12_15_65_35_18_9_19_66_65_34_15_23_65_1_18_5_65_25_15_21_65_4_15_9_14_7
w en i    e wea  er  ood a ain,2020-08-25_17_32,23_8_5_14_65_9_19_65_20_8_5_65_23_5_1_20_8_5_18_65_7_15_15_4_65_1_7_1_9_14
 ried  ood ,2020-08-25_17_33,20_18_9_5_4_65_6_15_15_4_65
 ow are you,2020-08-25_17_34,8_15_23_65_1_18_5_65_25_15_21
 ril  re   bla  box i  beau y ul now,2020-08-25_17_35,6_18_9_12_19_7_18_5_20_19_65_2_12_1_3_11_2_15_24_65_9_19_65_2_5_1_21_20_25_6_21_12_65_14_15_23
" ello,  ow are you?",2020-08-25_17_37,8_5_12_12_15_77_65_8_15_23_65_1_18_5_65_25_15_21_86
I li e banan ,2020-08-25_17_37,35_65_12_9_11_5_65_2_1_14_1_14_19
"Ye , id love  o  ear  ow you  ear",2020-08-25_17_39,51_5_19_77_65_9_4_65_12_15_22_5_65_20_15_65_8_5_1_18_65_8_15_23_65_25_15_21_65_8_5_1_18
ra   a  i balanum minum,2020-08-25_17_40,18_1_19_19_7_1_20_65_9_65_2_1_12_1_14_21_13_65_13_9_14_21_13
ble  adur mei  ari,2020-08-25_17_40,2_12_5_19_19_1_4_21_18_65_13_5_9_19_20_1_18_9
 ra  erandi  ve  a y in ,2020-08-25_17_41,7_18_1_19_19_5_18_1_14_4_9_65_19_22_5_16_16_1_19_25_11_9_14_7
 alladu mi  erlin a lom arann[D[ ,2020-08-25_17_41,encryption failed
"Im on my way  o your  la e now, do y u wan  me  o   o  a    e   o ?",2020-08-25_17_49,35_13_65_15_14_65_13_25_65_23_1_25_65_20_15_65_25_15_21_18_65_16_12_1_3_5_65_14_15_23_77_65_4_15_65_25_16_21_65_23_1_14_20_65_13_5_65_20_15_65_19_20_15_16_65_1_20_65_20_8_5_65_19_8_15_16_86
  i    o    oo    o    i ,2020-08-25_17_49,19_8_9_16_65_19_8_15_16_65_19_8_15_15_16_65_19_8_15_16_65_19_8_9_16
 ello  ow are you?,2020-08-25_17_52,8_5_12_12_15_65_8_15_23_65_1_18_5_65_25_15_21_86
w a  a banana  a  in  ommon wi   a   i  lo e,2020-08-25_17_53,23_8_1_20_65_1_65_2_1_14_1_14_1_65_8_1_19_65_9_14_65_3_15_13_13_15_14_65_23_9_20_8_65_1_65_19_11_9_65_19_12_15_16_5
loo in   or  lo e  in  rom ö,2020-08-25_17_54,encryption failed
 ej,2020-08-25_17_55,8_5_10
 ello my name i  alex,2020-08-25_17_58,34_5_12_12_15_65_13_25_65_14_1_13_5_65_9_19_65_1_12_5_24
 rida i   ool,2020-08-25_17_58,32_18_9_4_1_65_9_19_65_3_15_15_12
i am a banana,2020-08-25_18_14,9_65_1_13_65_1_65_2_1_14_1_14_1
bro en roller oa  er,2020-08-25_18_14,2_18_15_11_5_14_65_18_15_12_12_5_18_3_15_1_19_20_5_18
 iao da noi due,2020-08-25_18_15,3_9_1_15_65_4_1_65_14_15_9_65_4_21_5
ab de   ilmno qr  uvz,2020-08-25_18_15,1_2_3_4_5_6_7_8_9_12_13_14_15_16_17_18_19_20_21_22_26
 ello w a   your name ,2020-08-25_18_17,8_5_12_12_15_65_23_8_1_20_19_65_25_15_21_18_65_14_1_13_5_65
" ey Moni a,  rea    ow! ",2020-08-25_18_19,34_5_25_65_39_15_14_9_3_1_77_65_7_18_5_1_20_65_19_8_15_23_66_65
 ey Moni a  ow are you  oday?,2020-08-25_18_20,34_5_25_65_39_15_14_9_3_1_65_34_15_23_65_1_18_5_65_25_15_21_65_20_15_4_1_25_86
 ey w a '  u ?,2020-08-25_18_40,8_5_25_65_23_8_1_20_72_19_65_21_16_86
Banana  and  inea  le  are edli iou ,2020-08-25_18_40,28_1_14_1_14_1_19_65_1_14_4_65_16_9_14_5_1_16_16_12_5_19_65_1_18_5_65_5_4_12_9_3_9_15_21_19
I'm a banana,2020-08-25_18_42,35_72_13_65_1_65_2_1_14_1_14_1
w a  do you wan   o do now Axel?,2020-08-25_18_43,23_8_1_20_65_4_15_65_25_15_21_65_23_1_14_20_65_20_15_65_4_15_65_14_15_23_65_27_24_5_12_86
o  le '   o ba e a  a e,2020-08-25_18_43,15_11_65_12_5_20_72_19_65_7_15_65_2_1_11_5_65_1_65_3_1_11_5
I  lee   oundly in   e   ee  ,2020-08-25_18_44,35_65_19_12_5_5_16_65_19_15_21_14_4_12_25_65_9_14_65_20_8_5_65_19_8_5_5_20_19
 an  u ,2020-08-27_07_52,19_1_14_3_20_21_19
lina i   a  y,2020-08-27_13_21,12_9_14_1_65_9_19_65_8_1_16_16_25
" rj Moni a  å  ool a   e din ud  illin , der man e banaer o  land  aber  er ",2020-08-27_14_46,encryption failed
 vad  anden,2020-08-27_14_47,8_22_1_4_65_6_1_14_4_5_14
vi   al  il land  rona i nö  e u e,2020-08-27_14_48,encryption failed
 rea  job Moni a! You are a wonder ul  er on! I am  roud o  you!  ee  u    e  ood wor  xxx,2020-08-27_15_41,33_18_5_1_20_65_10_15_2_65_39_15_14_9_11_1_66_65_51_15_21_65_1_18_5_65_1_65_23_15_14_4_5_18_6_21_12_65_16_5_18_19_15_14_66_65_35_65_1_13_65_16_18_15_21_4_65_15_6_65_25_15_21_66_65_37_5_5_16_65_21_16_65_20_8_5_65_7_15_15_4_65_23_15_18_11_65_24_24_24
a  ound i  allway  a  ound even i  i   no  loud  nd  lear,2020-08-28_07_34,1_65_19_15_21_14_4_65_9_19_65_1_12_12_23_1_25_19_65_1_65_19_15_21_14_4_65_5_22_5_14_65_9_6_65_9_20_19_65_14_15_20_65_12_15_21_4_65_19_14_4_65_3_12_5_1_18
 o banana ,2020-08-28_10_46,7_15_65_2_1_14_1_14_1_19
 ood mornin ,2020-08-28_11_05,7_15_15_4_65_13_15_18_14_9_14_7
 ow are you doin   oday,2020-08-28_11_06,8_15_23_65_1_18_5_65_25_15_21_65_4_15_9_14_7_65_20_15_4_1_25
w a  doe  a banana  ave in  ommon wi   a   i  lo e,2020-08-28_11_09,23_8_1_20_65_4_15_5_19_65_1_65_2_1_14_1_14_1_65_8_1_22_5_65_9_14_65_3_15_13_13_15_14_65_23_9_20_8_65_1_65_19_11_9_65_19_12_15_16_5
 eeey i    ara,2020-08-28_14_25,8_5_5_5_25_65_9_20_19_65_52_1_18_1
  i  i   ooo in ere  in  !  oood wor  / ara,2020-08-28_14_26,20_8_9_19_65_9_19_65_19_15_15_15_65_9_14_20_5_18_5_19_20_9_14_7_65_66_65_7_15_15_15_4_65_23_15_18_11_65_80_52_1_18_1
w a  doe  a banana  ave in  ommon wi   a   i  lo e?,2020-08-28_14_27,23_8_1_20_65_4_15_5_19_65_1_65_2_1_14_1_14_1_65_8_1_22_5_65_9_14_65_3_15_13_13_15_14_65_23_9_20_8_65_1_65_19_11_9_65_19_12_15_16_5_86
 an a live  in   e  ore  ,2020-08-28_16_11,52_1_14_20_1_65_12_9_22_5_19_65_9_14_65_20_8_5_65_6_15_18_5_19_20
  e mana emen  in  rila re  are  o   i  ,2020-08-29_11_46,46_8_5_65_13_1_14_1_7_5_13_5_14_20_65_9_14_65_32_18_9_12_1_7_18_5_20_65_1_18_5_65_19_15_65_19_8_9_20_65
j j  m  ivyii ui  u  u i i   y ydo ,2020-08-29_11_47,10_7_10_7_8_13_65_65_9_22_25_9_9_65_21_9_11_8_21_8_65_21_8_9_8_9_8_65_6_25_6_25_4_15_65
 ello moni a!  ow are you?,2020-08-29_17_07,encryption failed
I am wal in   oward    e re  auran ,2020-08-29_17_08,35_65_1_13_65_23_1_12_11_9_14_7_65_20_15_23_1_18_4_19_65_20_8_5_65_18_5_19_20_1_21_18_1_14_20
 ry,2020-08-29_17_27,8_18_25
 ello banana,2020-08-29_17_31,8_5_12_12_15_65_2_1_14_1_14_1
bananna are  or mon ie ,2020-08-29_17_32,2_1_14_1_14_14_1_65_1_18_5_65_6_15_18_65_13_15_14_11_9_5_19
ab ,2020-08-29_18_14,1_2_3
I  ave a li  le  or e,2020-08-29_18_15,35_65_8_1_22_5_65_1_65_12_9_20_20_12_5_65_8_15_18_19_5
I live in a bi  blue  ou e,2020-08-29_18_15,35_65_12_9_22_5_65_9_14_65_1_65_2_9_7_65_2_12_21_5_65_8_15_21_19_5
je moeder,2020-11-06_16_58,10_5_65_13_15_5_4_5_18
je moeder,2020-11-06_16_58,10_5_65_13_15_5_4_5_18
 ee i  ben meen  wa  moe  i  doen om  e  ij en o  di   ro ramma wer   ,2020-11-06_16_59,8_5_5_65_9_11_65_2_5_14_65_13_5_5_14_20_65_23_1_20_65_13_15_5_20_65_9_11_65_4_15_5_14_65_15_13_65_20_5_65_11_9_10_11_5_14_65_15_6_65_4_9_20_65_16_18_15_7_18_1_13_13_1_65_23_5_18_11_20_65
 d,2020-11-06_17_03,3_4
